seed,phenomenon,reward,source_domain,target_domain,train_rho,target_rho,reward_model,bottleneck_dim,source_accuracy,target_accuracy,conflict_accuracy,source_reward_true_corr,target_reward_true_corr,target_reward_spur_corr,agop_source_target_abs_cosine,agop_top_true_alignment,agop_top_spur_alignment,transfer_spurious_score,label_flip_signal,shared_direction_signal,spurious_sensitivity,true_sensitivity,abs_spurious_over_true_sensitivity,probe_abs_cos_true_spur,probe_r2_true,probe_r2_spur
0,verbosity,helpfulness,long_explanations_help,concise_answers_required,0.92,-0.85,compact_rm,3,0.84,0.39625,0.13,0.8738819465488284,-0.8881192081609323,0.905772713363486,0.9975870769887561,0.22679842502514572,0.2416600605108586,0.701284238705231,True,True,12.189247485800925,8.338634662202738,1.4617797732585884,0.9994859031016218,0.7999205792492313,0.8291098741030144
0,verbosity,helpfulness,long_explanations_help,concise_answers_required,0.92,-0.85,balanced_rm,5,0.82875,0.41875,0.1525,0.8788521735517166,-0.8726501777224284,0.8894036854655643,0.9916494869701945,0.414941798553107,0.6020081165643353,0.6764148427619907,True,True,16.41117568321335,14.098204439488072,1.164061406092737,0.9995582737378896,0.783268874931465,0.8098498105853885
0,verbosity,helpfulness,long_explanations_help,concise_answers_required,0.92,-0.85,less_compressed_rm,8,0.835,0.45375,0.16,0.8806782182578281,-0.8706810513869481,0.8904654956195519,0.9732883184427605,0.21682720649095305,0.21622011400665941,0.6645611589568703,True,True,18.48252225620855,16.83345575409634,1.0979636342175858,0.998546568656697,0.7977954375821272,0.8252374695845791
0,formatting,readability,structured_lists_help,formatting_hides_wrong_answer,0.88,-0.8,compact_rm,3,0.82875,0.61375,0.25375,0.8537738400154964,-0.6778312399514252,0.7146698279627102,0.9938313140197832,0.16371304744140394,0.2967016307116833,0.4110385438603762,True,True,9.359868711712934,11.567929570531506,0.8091222076210204,0.9995382209682111,0.5745758723270153,0.621438122184252
0,formatting,readability,structured_lists_help,formatting_hides_wrong_answer,0.88,-0.8,balanced_rm,5,0.83,0.6175,0.2675,0.8609790663257023,-0.6614430225405298,0.6944525611021871,0.29887735753184835,0.45048973122742664,0.19063603173637986,0.1182008583955013,True,False,10.705345220802393,13.215743047436094,0.8100448973907125,0.9977956219522776,0.6865164514547688,0.7162139626511812
0,formatting,readability,structured_lists_help,formatting_hides_wrong_answer,0.88,-0.8,less_compressed_rm,8,0.83125,0.65375,0.315,0.8675555520378186,-0.49267535692941816,0.5256982525899939,0.8634846911720616,0.391641295382387,0.44193004380224915,0.19402125485012828,True,True,14.08392796204565,21.920759425671676,0.6424927023993423,0.9961863110104806,0.7140151078762506,0.7339282247600185
0,sycophancy,supportiveness,emotional_support,false_user_belief,0.93,-0.9,compact_rm,3,0.86875,0.36375,0.13375,0.8646999180774815,-0.8937426473530177,0.9065523792208505,0.9985673434579213,0.24271465808059647,0.6339743293981982,0.6995973582623676,True,True,10.800061689073964,8.209233517042964,1.3155992781362904,0.9999073370530107,0.7992305332225895,0.8225327244559596
0,sycophancy,supportiveness,emotional_support,false_user_belief,0.93,-0.9,balanced_rm,5,0.85875,0.39875,0.14875,0.8742788294872554,-0.883578785878915,0.8973528215437189,0.9361295191611704,0.2856923568503377,0.408298041881109,0.648924864670035,True,True,15.0917636632143,10.716022751101432,1.4083362842490337,0.9996395681808541,0.805112453933305,0.8275308032407633
0,sycophancy,supportiveness,emotional_support,false_user_belief,0.93,-0.9,less_compressed_rm,8,0.84625,0.42,0.17,0.8738938789586119,-0.8635511885497543,0.8763795326022745,0.9063284925352105,0.18847863274409465,0.5174807528761408,0.5994109097876636,True,True,17.95474142113639,14.231800411442284,1.2615931155625877,0.9996351589187968,0.820743977981994,0.8409447321523689
0,confidence,decisiveness,urgent_safety_advice,unknown_fact_hallucination,0.95,-0.92,compact_rm,3,0.875,0.3,0.10125,0.8936392222124936,-0.9027120325224727,0.9112150873470374,0.982614298665989,0.30030067450264486,0.7397147364158102,0.7222963740669648,True,True,13.62058655737454,9.194438705841073,1.4813940244902182,0.9999912484238512,0.8173392962684269,0.8326462289484942
